"Table S11. Outcome estimate-quality proxy using incidence, YLL, and DALY residual consistency.","Table S11. Outcome estimate-quality proxy using incidence, YLL, and DALY residual consistency.","Table S11. Outcome estimate-quality proxy using incidence, YLL, and DALY residual consistency.","Table S11. Outcome estimate-quality proxy using incidence, YLL, and DALY residual consistency.","Table S11. Outcome estimate-quality proxy using incidence, YLL, and DALY residual consistency.","Table S11. Outcome estimate-quality proxy using incidence, YLL, and DALY residual consistency.","Table S11. Outcome estimate-quality proxy using incidence, YLL, and DALY residual consistency.","Table S11. Outcome estimate-quality proxy using incidence, YLL, and DALY residual consistency.","Table S11. Outcome estimate-quality proxy using incidence, YLL, and DALY residual consistency.","Table S11. Outcome estimate-quality proxy using incidence, YLL, and DALY residual consistency.","Table S11. Outcome estimate-quality proxy using incidence, YLL, and DALY residual consistency.","Table S11. Outcome estimate-quality proxy using incidence, YLL, and DALY residual consistency.","Table S11. Outcome estimate-quality proxy using incidence, YLL, and DALY residual consistency.","Table S11. Outcome estimate-quality proxy using incidence, YLL, and DALY residual consistency.","Table S11. Outcome estimate-quality proxy using incidence, YLL, and DALY residual consistency."
Subtable 1. Outcome uncertainty proxy residual consistency.,Subtable 1. Outcome uncertainty proxy residual consistency.,Subtable 1. Outcome uncertainty proxy residual consistency.,Subtable 1. Outcome uncertainty proxy residual consistency.,Subtable 1. Outcome uncertainty proxy residual consistency.,Subtable 1. Outcome uncertainty proxy residual consistency.,Subtable 1. Outcome uncertainty proxy residual consistency.,Subtable 1. Outcome uncertainty proxy residual consistency.,Subtable 1. Outcome uncertainty proxy residual consistency.,Subtable 1. Outcome uncertainty proxy residual consistency.,Subtable 1. Outcome uncertainty proxy residual consistency.,Subtable 1. Outcome uncertainty proxy residual consistency.,Subtable 1. Outcome uncertainty proxy residual consistency.,Subtable 1. Outcome uncertainty proxy residual consistency.,Subtable 1. Outcome uncertainty proxy residual consistency.
Comparison,Comparison,X,X,Y,Y,Y,N,Rho,Rho,Rho,P value,P value,Existing pearson r,Existing pearson r
Mortality vs incidence residual,Mortality vs incidence residual,mortality-based smoking-adjusted burden residual,mortality-based smoking-adjusted burden residual,smoking-adjusted burden residual incidence,smoking-adjusted burden residual incidence,smoking-adjusted burden residual incidence,163,0.798959216586031,0.798959216586031,0.798959216586031,2.1748178686022285e-37,2.1748178686022285e-37,0.8559290873920802,0.8559290873920802
Mortality vs YLL residual,Mortality vs YLL residual,mortality-based smoking-adjusted burden residual,mortality-based smoking-adjusted burden residual,YLL-based smoking-adjusted burden residual,YLL-based smoking-adjusted burden residual,YLL-based smoking-adjusted burden residual,163,0.9698488702678438,0.9698488702678438,0.9698488702678438,1.249593132319828e-100,1.249593132319828e-100,0.9717594953243068,0.9717594953243068
Mortality vs DALY residual,Mortality vs DALY residual,mortality-based smoking-adjusted burden residual,mortality-based smoking-adjusted burden residual,DALY-based smoking-adjusted burden residual,DALY-based smoking-adjusted burden residual,DALY-based smoking-adjusted burden residual,163,0.971295326450197,0.971295326450197,0.971295326450197,2.5295210621036174e-102,2.5295210621036174e-102,0.9730151675130798,0.9730151675130798
Subtable 2. Outcome residual correlations.,Subtable 2. Outcome residual correlations.,Subtable 2. Outcome residual correlations.,Subtable 2. Outcome residual correlations.,Subtable 2. Outcome residual correlations.,Subtable 2. Outcome residual correlations.,Subtable 2. Outcome residual correlations.,Subtable 2. Outcome residual correlations.,Subtable 2. Outcome residual correlations.,Subtable 2. Outcome residual correlations.,Subtable 2. Outcome residual correlations.,Subtable 2. Outcome residual correlations.,Subtable 2. Outcome residual correlations.,Subtable 2. Outcome residual correlations.,Subtable 2. Outcome residual correlations.
Mortality incidence r,Mortality incidence r,Mortality incidence r,Mortality incidence r,Mortality incidence r,Mortality DALY r,Mortality DALY r,Mortality DALY r,Mortality DALY r,Mortality DALY r,Mortality YLL r,Mortality YLL r,Mortality YLL r,Mortality YLL r,Mortality YLL r
0.8559290873920802,0.8559290873920802,0.8559290873920802,0.8559290873920802,0.8559290873920802,0.9730151675130798,0.9730151675130798,0.9730151675130798,0.9730151675130798,0.9730151675130798,0.9717594953243068,0.9717594953243068,0.9717594953243068,0.9717594953243068,0.9717594953243068
Subtable 3. Outcome replacement first stage coefficients hc3.,Subtable 3. Outcome replacement first stage coefficients hc3.,Subtable 3. Outcome replacement first stage coefficients hc3.,Subtable 3. Outcome replacement first stage coefficients hc3.,Subtable 3. Outcome replacement first stage coefficients hc3.,Subtable 3. Outcome replacement first stage coefficients hc3.,Subtable 3. Outcome replacement first stage coefficients hc3.,Subtable 3. Outcome replacement first stage coefficients hc3.,Subtable 3. Outcome replacement first stage coefficients hc3.,Subtable 3. Outcome replacement first stage coefficients hc3.,Subtable 3. Outcome replacement first stage coefficients hc3.,Subtable 3. Outcome replacement first stage coefficients hc3.,Subtable 3. Outcome replacement first stage coefficients hc3.,Subtable 3. Outcome replacement first stage coefficients hc3.,Subtable 3. Outcome replacement first stage coefficients hc3.
Model id,Model label,Model label,Term,Estimate,Estimate,Robust se,Statistic,P value,Conf low,Conf low,Conf high,N,N,R-squared
mortality,Mortality,Mortality,(Intercept),0.12684289969188742,0.12684289969188742,0.06718911108065931,1.8878490524992184,0.06093963184000683,-0.004847758026204824,-0.004847758026204824,0.25853355740997963,163,163,0.7476121053940675
mortality,Mortality,Mortality,smoking z,0.18128161495638176,0.18128161495638176,0.05464847585792088,3.317230940304557,0.0011358761508571814,0.07417060227485683,0.07417060227485683,0.2883926276379067,163,163,0.7476121053940675
mortality,Mortality,Mortality,z logGDP,0.15200554962060867,0.15200554962060867,0.054971772119597945,2.765156438651853,0.006389888727307918,0.044260876266196694,0.044260876266196694,0.25975022297502065,163,163,0.7476121053940675
mortality,Mortality,Mortality,z urbanisation,-7.292883055481963e-4,-7.292883055481963e-4,0.0484330927863894,-0.015057644754685991,0.9880058089161062,-0.09565815016687142,-0.09565815016687142,0.09419957355577503,163,163,0.7476121053940675
mortality,Mortality,Mortality,z age65,0.5884884163561978,0.5884884163561978,0.07311407052928605,8.048907851744858,2.1654293987499021e-13,0.4451848381187971,0.4451848381187971,0.7317919945935984,163,163,0.7476121053940675
mortality,Mortality,Mortality,WHO region factorAmericas,-0.2631341582925356,-0.2631341582925356,0.0852657101859309,-3.0860489840375895,0.002408213635616509,-0.43025495025696014,-0.43025495025696014,-0.09601336632811105,163,163,0.7476121053940675
mortality,Mortality,Mortality,WHO region factorEastern Mediterranean,-0.14185280916209572,-0.14185280916209572,0.0769631076485658,-1.843127356678913,0.06724537745701258,-0.2927005001532847,-0.2927005001532847,0.008994881829093249,163,163,0.7476121053940675
mortality,Mortality,Mortality,WHO region factorEuropean,-0.28969008382229233,-0.28969008382229233,0.1296398293552367,-2.2345762507021574,0.02689417456455616,-0.5437841493585562,-0.5437841493585562,-0.035596018286028375,163,163,0.7476121053940675
mortality,Mortality,Mortality,WHO region factorSouth-East Asia,-0.16241953706297985,-0.16241953706297985,0.09641807611718448,-1.68453409986711,0.09411732933991043,-0.3513989662526614,-0.3513989662526614,0.026559892126701734,163,163,0.7476121053940675
mortality,Mortality,Mortality,WHO region factorWestern Pacific,0.04228840437675167,0.04228840437675167,0.15212187786541576,0.2779902862766708,0.7813951221422166,-0.2558704762394632,-0.2558704762394632,0.34044728499296656,163,163,0.7476121053940675
YLL,YLL,YLL,(Intercept),0.055005941856123744,0.055005941856123744,0.07834836589505072,0.7020687825168601,0.4837029290817906,-0.09855685529817566,-0.09855685529817566,0.20856873901042317,163,163,0.7122246471387017
YLL,YLL,YLL,smoking z,0.2283297039452543,0.2283297039452543,0.06881759241776106,3.317897298108978,0.001133353069753367,0.0934472228064426,0.0934472228064426,0.36321218508406594,163,163,0.7122246471387017
YLL,YLL,YLL,z logGDP,0.11776867857424476,0.11776867857424476,0.06393030002551858,1.842141809552527,0.06739022891387421,-0.007534709475771659,-0.007534709475771659,0.24307206662426117,163,163,0.7122246471387017
YLL,YLL,YLL,z urbanisation,0.002496204902643494,0.002496204902643494,0.057460480759989455,0.043442116557814055,0.9654057487496578,-0.11012633738693584,-0.11012633738693584,0.11511874719222281,163,163,0.7122246471387017
YLL,YLL,YLL,z age65,0.5712564539164873,0.5712564539164873,0.12244648750502211,4.66535598984052,6.673984993540281e-6,0.33126133840664396,0.33126133840664396,0.8112515694263306,163,163,0.7122246471387017
YLL,YLL,YLL,WHO region factorAmericas,-0.1946407974188419,-0.1946407974188419,0.09835664991669948,-1.978928700638825,0.04961893017438239,-0.3874198312555729,-0.3874198312555729,-0.0018617635821109313,163,163,0.7122246471387017
YLL,YLL,YLL,WHO region factorEastern Mediterranean,-0.09292882641143635,-0.09292882641143635,0.07393006912816708,-1.2569828150753186,0.2106753717394309,-0.23783176190264382,-0.23783176190264382,0.051974109079771125,163,163,0.7122246471387017
YLL,YLL,YLL,WHO region factorEuropean,-0.138407155031657,-0.138407155031657,0.17198804928481326,-0.8047486764760841,0.4222134730060355,-0.475503731629891,-0.475503731629891,0.198689421566577,163,163,0.7122246471387017
YLL,YLL,YLL,WHO region factorSouth-East Asia,-0.07435317513570606,-0.07435317513570606,0.11708426760230702,-0.6350398448769988,0.5263509735105121,-0.3038383396362278,-0.3038383396362278,0.1551319893648157,163,163,0.7122246471387017
YLL,YLL,YLL,WHO region factorWestern Pacific,0.15702911116163168,0.15702911116163168,0.18409155445264724,0.8529946505613506,0.3949956418440044,-0.2037903355655569,-0.2037903355655569,0.5178485578888202,163,163,0.7122246471387017
DALY,DALY,DALY,(Intercept),0.0599962603638609,0.0599962603638609,0.07803701652794419,0.7688179665656094,0.44318652915262735,-0.09295629203090969,-0.09295629203090969,0.2129488127586315,163,163,0.7139272000479707
DALY,DALY,DALY,smoking z,0.22698756347953722,0.22698756347953722,0.06834587543424343,3.321159646245592,0.0011210759236071675,0.09302964762842009,0.09302964762842009,0.36094547933065435,163,163,0.7139272000479707
DALY,DALY,DALY,z logGDP,0.12002206011112578,0.12002206011112578,0.06365665240203303,1.8854598157802684,0.06126353990189604,-0.004744978596858948,-0.004744978596858948,0.24478909881911048,163,163,0.7139272000479707
DALY,DALY,DALY,z urbanisation,0.0022426121150742797,0.0022426121150742797,0.05709440601244002,0.03927901648693303,0.9687191426732573,-0.10966242366930816,-0.10966242366930816,0.11414764789945671,163,163,0.7139272000479707
DALY,DALY,DALY,z age65,0.5712192779644454,0.5712192779644454,0.12114482612473346,4.715176836163891,5.3947363963121415e-6,0.3337754187599678,0.3337754187599678,0.808663137168923,163,163,0.7139272000479707
DALY,DALY,DALY,WHO region factorAmericas,-0.19720900283891982,-0.19720900283891982,0.09791851321676703,-2.0140114096947994,0.04576094865759985,-0.38912928874378316,-0.38912928874378316,-0.005288716934056442,163,163,0.7139272000479707
DALY,DALY,DALY,WHO region factorEastern Mediterranean,-0.09575514783055705,-0.09575514783055705,0.07413692814069629,-1.2915985357369262,0.19844398207877686,-0.24106352698632177,-0.24106352698632177,0.04955323132520767,163,163,0.7139272000479707
DALY,DALY,DALY,WHO region factorEuropean,-0.14349701547606913,-0.14349701547606913,0.17086795153285259,-0.8398123474224429,0.4023239801951768,-0.4783982004804602,-0.4783982004804602,0.19140416952832195,163,163,0.7139272000479707
DALY,DALY,DALY,WHO region factorSouth-East Asia,-0.07822835972441743,-0.07822835972441743,0.11645173948538645,-0.6717663477601751,0.5027455239634702,-0.30647376911577484,-0.30647376911577484,0.15001704966694002,163,163,0.7139272000479707
DALY,DALY,DALY,WHO region factorWestern Pacific,0.15310429592045116,0.15310429592045116,0.18257002429812882,0.8386058801769045,0.4029987706049942,-0.20473295170388134,-0.20473295170388134,0.5109415435447837,163,163,0.7139272000479707
incidence,Incidence,Incidence,(Intercept),0.12978698828479654,0.12978698828479654,0.11315381351186476,1.146996148487631,0.2531737153752591,-0.0919944861984584,-0.0919944861984584,0.3515684627680515,163,163,0.5807121236357644
incidence,Incidence,Incidence,smoking z,0.2745620090590515,0.2745620090590515,0.08038216845806503,3.415707915397792,8.148235429157683e-4,0.11701295888124402,0.11701295888124402,0.43211105923685894,163,163,0.5807121236357644
incidence,Incidence,Incidence,z logGDP,0.38321830645254507,0.38321830645254507,0.10539492343164114,3.636022438036111,3.777237714344946e-4,0.17664425652652843,0.17664425652652843,0.5897923563785616,163,163,0.5807121236357644
incidence,Incidence,Incidence,z urbanisation,0.030792527300853998,0.030792527300853998,0.07700169674898283,0.3998941400114116,0.6897922232347089,-0.12013079832715234,-0.12013079832715234,0.18171585292886033,163,163,0.5807121236357644
incidence,Incidence,Incidence,z age65,0.2560777326257794,0.2560777326257794,0.14314718106311117,1.7889121582693204,0.07560744715729477,-0.02449074225791853,-0.02449074225791853,0.5366462075094773,163,163,0.5807121236357644
incidence,Incidence,Incidence,WHO region factorAmericas,-0.19538810433833717,-0.19538810433833717,0.15989829772339553,-1.2219523729785708,0.22360492435385018,-0.5087887678761924,-0.5087887678761924,0.11801255919951806,163,163,0.5807121236357644
incidence,Incidence,Incidence,WHO region factorEastern Mediterranean,-0.2597354331498417,-0.2597354331498417,0.17772809021768748,-1.4614202675092542,0.14595088916368032,-0.6080824899765092,-0.6080824899765092,0.08861162367682573,163,163,0.5807121236357644
incidence,Incidence,Incidence,WHO region factorEuropean,-0.3113499260539774,-0.3113499260539774,0.22595317056588532,-1.377940062864448,0.17023375720194794,-0.7542181403631125,-0.7542181403631125,0.13151828825515782,163,163,0.5807121236357644
incidence,Incidence,Incidence,WHO region factorSouth-East Asia,-0.23516495577166743,-0.23516495577166743,0.19234911772338117,-1.2225944083084388,0.2233629076627335,-0.6121692265094946,-0.6121692265094946,0.14183931496615967,163,163,0.5807121236357644
incidence,Incidence,Incidence,WHO region factorWestern Pacific,0.2972464375703603,0.2972464375703603,0.2271004943078137,1.308876224494123,0.19253878804883548,-0.14787053127295458,-0.14787053127295458,0.7423634064136752,163,163,0.5807121236357644
Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): step14 validation robustness: step14 outcome uncertainty proxy residual consistency; manuscript extensions: outcome residual correlations; manuscript extensions: outcome replacement first stage coefficients hc3.,Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): step14 validation robustness: step14 outcome uncertainty proxy residual consistency; manuscript extensions: outcome residual correlations; manuscript extensions: outcome replacement first stage coefficients hc3.,Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): step14 validation robustness: step14 outcome uncertainty proxy residual consistency; manuscript extensions: outcome residual correlations; manuscript extensions: outcome replacement first stage coefficients hc3.,Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): step14 validation robustness: step14 outcome uncertainty proxy residual consistency; manuscript extensions: outcome residual correlations; manuscript extensions: outcome replacement first stage coefficients hc3.,Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): step14 validation robustness: step14 outcome uncertainty proxy residual consistency; manuscript extensions: outcome residual correlations; manuscript extensions: outcome replacement first stage coefficients hc3.,Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): step14 validation robustness: step14 outcome uncertainty proxy residual consistency; manuscript extensions: outcome residual correlations; manuscript extensions: outcome replacement first stage coefficients hc3.,Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): step14 validation robustness: step14 outcome uncertainty proxy residual consistency; manuscript extensions: outcome residual correlations; manuscript extensions: outcome replacement first stage coefficients hc3.,Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): step14 validation robustness: step14 outcome uncertainty proxy residual consistency; manuscript extensions: outcome residual correlations; manuscript extensions: outcome replacement first stage coefficients hc3.,Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): step14 validation robustness: step14 outcome uncertainty proxy residual consistency; manuscript extensions: outcome residual correlations; manuscript extensions: outcome replacement first stage coefficients hc3.,Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): step14 validation robustness: step14 outcome uncertainty proxy residual consistency; manuscript extensions: outcome residual correlations; manuscript extensions: outcome replacement first stage coefficients hc3.,Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): step14 validation robustness: step14 outcome uncertainty proxy residual consistency; manuscript extensions: outcome residual correlations; manuscript extensions: outcome replacement first stage coefficients hc3.,Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): step14 validation robustness: step14 outcome uncertainty proxy residual consistency; manuscript extensions: outcome residual correlations; manuscript extensions: outcome replacement first stage coefficients hc3.,Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): step14 validation robustness: step14 outcome uncertainty proxy residual consistency; manuscript extensions: outcome residual correlations; manuscript extensions: outcome replacement first stage coefficients hc3.,Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): step14 validation robustness: step14 outcome uncertainty proxy residual consistency; manuscript extensions: outcome residual correlations; manuscript extensions: outcome replacement first stage coefficients hc3.,Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): step14 validation robustness: step14 outcome uncertainty proxy residual consistency; manuscript extensions: outcome residual correlations; manuscript extensions: outcome replacement first stage coefficients hc3.
